نوع البطوله,الفريق الاول,الفريق الثاني,النتيجة,الوقت
الدوري الإنجليزي,برينتفورد,توتنهام هوتسبر,2 - 2,16:00
الدوري الإنجليزي,تشيلسي,ليفربول,1 - 1,18:30
الدوري الإسباني,سيلتا فيجو,أوساسونا,0 - 0,18:00
الدوري الإسباني,فياريال,ريال بيتيس,1 - 1,20:30
الدوري الإسباني,خيتافي,برشلونة,0 - 0,22:30
الدوري السعودي,الرياض,الوحدة,1 - 1,21:00
الدوري السعودي,الفتح,التعاون,1 - 1,21:00
الدوري الفرنسي,بريست,لانس,3 - 3,14:00
الدوري الفرنسي,مونبيليه,لوهافر,2 - 2,16:00
الدوري الفرنسي,نانت,تولوز,1 - 1,16:00
الدوري الفرنسي,كليرمونت,موناكو,2 - 2,16:00
الدوري الفرنسي,رين,ميتز,5 - 5,18:05
الدوري الفرنسي,ستراسبورج,ليون,2 - 2,21:45
كأس ألمانيا,لوكوموتيف لايبزيج,آ. فرانكفورت,0 - 0,16:30
الدوري التركي,سيفاسبور,سامسون سبور,1 - 1,19:15
الدوري التركي,فنربخشة,غازي عنتاب بي.بي.كي,2 - 2,21:45
الدوري التركي,أضنة دمير سبور,ريزه سبور,2 - 2,21:45
الدوري البرتغالي,ريو آفي,شافيش,2 - 2,17:30
الدوري البرتغالي,إستريلا,فيتوريا جيماريش,0 - 0,20:00
الدوري البرتغالي,أروكا,إستوريل,4 - 4,22:30
